config,mass_factor,seed,controller,perturbed,label,rms_cm,max_cm,crashed,crash_reason,crash_time,solve_ms_mean,solve_ms_max,residual_vz_mean,residual_vz_std,thrust_correction_mean,thrust_correction_max_abs
nominal_perturbed,1.1,2,nominal,True,nominal_mass1.1_seed2,2.866393696597757,2.8845327606558873,False,,,4.018768151601155,67.67058372497559,nan,nan,nan,nan
ff_residual_perturbed,1.1,2,ff_residual,True,ff_residual_mass1.1_seed2,1.749610698659626,1.7869049276273783,False,,,4.019586563110352,67.55852699279785,-0.007134976062911453,0.003060992483027321,0.9454158604161215,5.0
nominal_perturbed,1.2,0,nominal,True,nominal_mass1.2_seed0,5.109610669568835,5.119470740327581,False,,,4.179217020670573,76.3247013092041,nan,nan,nan,nan
ff_residual_perturbed,1.2,0,ff_residual,True,ff_residual_mass1.2_seed0,2.0733563622940787,2.120345422935476,False,,,4.138876438140869,67.20757484436035,-0.014394822693294718,0.003325386758871015,1.9073425349441246,5.0
nominal_perturbed,1.2,1,nominal,True,nominal_mass1.2_seed1,5.109610669568835,5.119470740327581,False,,,4.200978438059489,69.46730613708496,nan,nan,nan,nan
ff_residual_perturbed,1.2,1,ff_residual,True,ff_residual_mass1.2_seed1,2.0733563622940787,2.120345422935476,False,,,4.103468259175618,72.00860977172852,-0.014394822693294718,0.003325386758871015,1.9073425349441246,5.0
nominal_perturbed,1.2,2,nominal,True,nominal_mass1.2_seed2,5.109610669568835,5.119470740327581,False,,,4.508923053741455,69.73600387573242,nan,nan,nan,nan
ff_residual_perturbed,1.2,2,ff_residual,True,ff_residual_mass1.2_seed2,2.0733563622940787,2.120345422935476,False,,,4.53676191965739,76.67922973632812,-0.014394822693294718,0.003325386758871015,1.9073425349441246,5.0
nominal_perturbed,1.3,0,nominal,True,nominal_mass1.3_seed0,7.509688860280797,7.516322964633297,False,,,4.954252243041992,70.36089897155762,nan,nan,nan,nan
ff_residual_perturbed,1.3,0,ff_residual,True,ff_residual_mass1.3_seed0,2.597240704135031,2.6496929465590435,False,,,4.723010222117106,76.08914375305176,-0.02131279858315038,0.003528348388861439,2.823963450379896,5.0
nominal_perturbed,1.3,1,nominal,True,nominal_mass1.3_seed1,7.509688860280797,7.516322964633297,False,,,4.679420153299968,94.76423263549805,nan,nan,nan,nan
ff_residual_perturbed,1.3,1,ff_residual,True,ff_residual_mass1.3_seed1,2.597240704135031,2.6496929465590435,False,,,4.250867048899333,69.82588768005371,-0.02131279858315038,0.003528348388861439,2.823963450379896,5.0
nominal_perturbed,1.3,2,nominal,True,nominal_mass1.3_seed2,7.509688860280797,7.516322964633297,False,,,4.563806533813477,70.88065147399902,nan,nan,nan,nan
ff_residual_perturbed,1.3,2,ff_residual,True,ff_residual_mass1.3_seed2,2.597240704135031,2.6496929465590435,False,,,4.495264848073323,75.71578025817871,-0.02131279858315038,0.003528348388861439,2.823963450379896,5.0
nominal_perturbed,1.4,0,nominal,True,nominal_mass1.4_seed0,9.95422785712882,9.959256933345353,False,,,4.589751720428467,73.50921630859375,nan,nan,nan,nan
ff_residual_perturbed,1.4,0,ff_residual,True,ff_residual_mass1.4_seed0,3.341785313046016,3.3906031438486894,False,,,4.463306268056233,73.73046875,-0.02761099455468743,0.00373823542844473,3.658466245924876,5.0
nominal_perturbed,1.4,1,nominal,True,nominal_mass1.4_seed1,9.95422785712882,9.959256933345353,False,,,4.435403982798259,76.88260078430176,nan,nan,nan,nan
ff_residual_perturbed,1.4,1,ff_residual,True,ff_residual_mass1.4_seed1,3.341785313046016,3.3906031438486894,False,,,4.354656378428142,73.82893562316895,-0.02761099455468743,0.00373823542844473,3.658466245924876,5.0
nominal_perturbed,1.4,2,nominal,True,nominal_mass1.4_seed2,9.95422785712882,9.959256933345353,False,,,4.4728438059488935,73.39930534362793,nan,nan,nan,nan
ff_residual_perturbed,1.4,2,ff_residual,True,ff_residual_mass1.4_seed2,3.341785313046016,3.3906031438486894,False,,,4.371722062428792,70.6791877746582,-0.02761099455468743,0.00373823542844473,3.658466245924876,5.0
